,Unnamed: 0,Unnamed: 0.1,Club,Name,Età,Nationality,Posizione,Pos,MarketValue,ClubInvolved,CountryInvolved,Costo,Movement,Season,Window,League,Profile,new_col
8114,8114,6135,Rayo Vallecano,Onésimo,30,Spagna,Centrocampo,Centrocampo,-,Burgos CF,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/onesimo/profil/spieler/246203,"Rayo Vallecano,Burgos CF"
8115,8115,6136,Rayo Vallecano,Javi Pineda,27,Spagna,Trequartista,TQ,-,Getafe CF,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/javi-pineda/profil/spieler/253496,"Rayo Vallecano,Getafe CF"
8117,8117,6138,RCD Mallorca,Dani García,24,Spagna,Punta centrale,P,-,FC Barcellona,Spagna,"15,00 mln €",Out,1990-99,e,laliga,https://www.transfermarkt.it/dani-garcia/profil/spieler/7608,"RCD Mallorca,FC Barcellona"
8118,8118,6139,RCD Mallorca,Marcelino,27,Spagna,Difensore centrale,DC,-,Newcastle United,Inghilterra,"6,70 mln €",Out,1990-99,e,laliga,https://www.transfermarkt.it/marcelino/profil/spieler/171977,"RCD Mallorca,Newcastle United"
8119,8119,6140,RCD Mallorca,Albert Luque,21,Spagna,Ala sinistra,AS,-,Málaga CF,Spagna,Prestito,Out,1990-99,e,laliga,https://www.transfermarkt.it/albert-luque/profil/spieler/7506,"RCD Mallorca,Málaga CF"
8121,8121,6142,RCD Mallorca,Óscar Arpón,24,Spagna,Centrale,CC,-,CA Osasuna,Spagna,?,Out,1990-99,e,laliga,https://www.transfermarkt.it/oscar-arpon/profil/spieler/29162,"RCD Mallorca,CA Osasuna"
8123,8123,6144,RCD Mallorca,Gabriel Moya,33,Spagna,Centrocampo,Centrocampo,-,Sevilla FC,Spagna,,Out,1990-99,e,laliga,https://www.transfermarkt.it/gabriel-moya/profil/spieler/173462,"RCD Mallorca,Sevilla FC"
8124,8124,6145,RCD Mallorca,Veljko Paunovic,21,Serbia,Punta centrale,P,-,Atlético de Madrid,Spagna,Fine prestito30/giu/1999,Out,1990-99,e,laliga,https://www.transfermarkt.it/veljko-paunovic/profil/spieler/7364,"RCD Mallorca,Atlético de Madrid"
8125,8125,6146,RCD Mallorca,Mauricio Pineda,23,Argentina,Terzino sinistro,TS,-,Udinese Calcio,Italia,Fine prestito30/giu/1999,Out,1990-99,e,laliga,https://www.transfermarkt.it/mauricio-pineda/profil/spieler/106109,"RCD Mallorca,Udinese Calcio"
8126,8126,6147,RCD Mallorca,Ivo,21,Spagna,Centrocampo,Centrocampo,-,Atlético de Madrid,Spagna,Fine prestito30/giu/1999,Out,1990-99,e,laliga,https://www.transfermarkt.it/ivotm/profil/spieler/187843,"RCD Mallorca,Atlético de Madrid"
